query_entity	gold_entity	gold_in_topk_raw	gold_present_in_feature_table	gold_ontology_keep_flag	gold_candidate_in_aligned_evidence	gold_evidence_edge_touch_count	gold_candidate_query_edge_count	num_candidates	num_ontology_keep	num_contra	num_evidence_touch_positive	num_candidate_query_link_positive
leukemia, lymphocytic, susceptibility to	Cortisone acetate	True	1	0	1	1	0	20	11	0	18	11
streptococcal infection	Cefixime	False	0					20	3	0	13	3
dyspepsia	Magnesium trisilicate	False	0					20	20	0	12	0
basal cell carcinoma	Vismodegib	False	0					20	20	0	17	0
obsessive-compulsive disorder	Fluoxetine	False	0					20	1	0	16	0
Norwegian scabies	Lindane	False	0					20	20	0	12	0
hypertension	Amiloride	False	0					20	1	0	14	0
pneumococcal meningitis	Meropenem	False	0					20	1	0	15	1
obsessive-compulsive disorder	Paroxetine	False	0					20	1	0	16	0
arthropathy	Diflunisal	False	0					20	1	0	18	1
diffuse large B-cell lymphoma	Doxorubicin	True	1	0	1	1	0	20	5	0	18	4
obsolete Hodgkin's granuloma	Betamethasone	True	1	0	1	1	0	20	13	0	18	13
migraine with or without aura, susceptibility to	Acetylsalicylic acid	False	0					20	20	0	15	0
infectious anterior uveitis	Dexamethasone	True	1	0	1	1	0	20	2	0	15	2
chromomycosis	Ketoconazole	False	0					20	20	0	14	0
proctitis	Pramocaine	False	0					20	1	0	14	1
nasopharyngitis	Ammonium chloride	False	0					20	20	0	12	0
acquired thrombocytopenia	Cortisone acetate	True	1	0	1	1	0	20	7	0	16	7
hemoglobinopathy	Phenprocoumon	False	0					20	3	1	18	1
prostate cancer	Estramustine	False	0					20	6	0	17	0
chronic cutaneous lupus erythematosus	Prednisolone	True	1	0	1	1	0	20	6	0	15	6
pulmonary emphysema	Ipratropium	False	0					20	20	0	18	0
common cold	Cefprozil	False	0					20	1	0	12	1
classic Hodgkin lymphoma	Mechlorethamine	False	0					20	13	0	17	13
mental disorder	Paliperidone	False	0					20	1	0	17	0
aspiration pneumonia (disease)	Cortisone acetate	True	1	0	1	1	0	20	8	0	16	7
autoimmune thrombocytopenic	Romiplostim	False	0					20	9	0	14	9
respiratory tract infectious disease	Loracarbef	False	0					20	20	0	12	0
arteriosclerosis disorder	Fluvastatin	False	0					20	1	0	17	0
gonococcal epididymo-orchitis	Doxycycline	True	1	0	1	1	0	20	2	0	15	2
ovarian mucinous adenocarcinoma	Hydroxyurea	True	1	0	1	1	0	20	2	0	18	2
