query_entity	gold_entity	w6_gold_rank_in_full_universe	w7_gold_rank_in_full_universe	delta_rank	w6_gold_in_top20_raw	w7_gold_in_top20_raw	w6_gold_injected	w7_gold_injected	w6_raw_top5	w7_raw_top5
HIV infectious disease	Raltegravir	106	1606	-1500	False	False	True	True	Cholestyramine | Neratinib | Infliximab | Talaporfin | Golimumab	Betamethasone | Triamcinolone | Hydrocortisone | Methylprednisolone | Cortisone acetate
pancreatic adenocarcinoma	Irinotecan	130	1625	-1495	False	False	True	True	Acenocoumarol | Omacetaxine mepesuccinate | Albendazole | Vinflunine | Mebendazole	Fusidic acid | Methylprednisolone | Dexamethasone | Oxytetracycline | Prednisolone
ascaridiasis	Mebendazole	5	1440	-1435	True	False	False	True	Acenocoumarol | Omacetaxine mepesuccinate | Beraprost | Albendazole | Mebendazole	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Prednisolone
gout	Topiroxostat	239	1672	-1433	False	False	True	True	Neratinib | Cholestyramine | Talaporfin | Levomethadone | Infliximab	Methylprednisolone | Cortisone acetate | Hydrocortisone | Fusidic acid | Prednisolone
ocular hypertension	Omidenepag isopropyl	40	1409	-1369	False	False	True	True	Cholestyramine | Talaporfin | Tibolone | Levomethadone | Golimumab	Fusidic acid | Methylprednisolone | Dexamethasone | Prednisolone | Cortisone acetate
malaria	Pyronaridine	292	1619	-1327	False	False	True	True	Cholestyramine | Neratinib | Infliximab | Talaporfin | Golimumab	Betamethasone | Methylprednisolone | Triamcinolone | Cortisone acetate | Hydrocortisone
constipation disorder	Dehydrocholic acid	502	1762	-1260	False	False	True	True	Infliximab | Golimumab | Neratinib | Cholestyramine | Talaporfin	Fusidic acid | Methylprednisolone | Dexamethasone | Prednisolone | Cortisone acetate
amebiasis	Diiodohydroxyquinoline	255	1508	-1253	False	False	True	True	Cholestyramine | Neratinib | Infliximab | Talaporfin | Golimumab	Betamethasone | Methylprednisolone | Triamcinolone | Cortisone acetate | Hydrocortisone
Norwegian scabies	Lindane	478	1711	-1233	False	False	True	True	Acenocoumarol | Omacetaxine mepesuccinate | Beraprost | Mebendazole | Vinflunine	Fusidic acid | Oxytetracycline | Tetracycline | Tobramycin | Dexamethasone
amebiasis	Diloxanide furoate	254	1464	-1210	False	False	True	True	Cholestyramine | Neratinib | Infliximab | Talaporfin | Golimumab	Betamethasone | Methylprednisolone | Triamcinolone | Cortisone acetate | Hydrocortisone
open-angle glaucoma	Latanoprost	553	1684	-1131	False	False	True	True	Neratinib | Cholestyramine | Talaporfin | Infliximab | Levomethadone	Methylprednisolone | Dexamethasone | Fusidic acid | Triamcinolone | Cortisone acetate
glycogen storage disease	Tiopronin	591	1636	-1045	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Methylprednisolone | Triamcinolone | Hydrocortisone | Cortisone acetate
hepatitis C virus infection	Simeprevir	314	1359	-1045	False	False	True	True	Cholestyramine | Neratinib | Infliximab | Talaporfin | Golimumab	Methylprednisolone | Cortisone acetate | Triamcinolone | Dexamethasone | Hydrocortisone
migraine disorder	Almotriptan	582	1525	-943	False	False	True	True	Neratinib | Infliximab | Golimumab | Cholestyramine | Talaporfin	Methylprednisolone | Cortisone acetate | Triamcinolone | Hydrocortisone | Prednisolone
ocular hypertension	Latanoprostene bunod	211	1139	-928	False	False	True	True	Cholestyramine | Talaporfin | Tibolone | Levomethadone | Golimumab	Fusidic acid | Methylprednisolone | Dexamethasone | Prednisolone | Cortisone acetate
hyperlipidemia, familial combined, LPL related	Pitavastatin	692	1619	-927	False	False	True	True	Cholestyramine | Tibolone | Talaporfin | Infliximab | Golimumab	Fusidic acid | Methylprednisolone | Dexamethasone | Prednisolone | Cortisone acetate
pulmonary tuberculosis	Serine	584	1490	-906	False	False	True	True	Acenocoumarol | Omacetaxine mepesuccinate | Azathioprine | Tofacitinib | Ingenol mebutate	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Methdilazine
obsolete neurogenic bladder (disease)	Butacaine	777	1659	-882	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Golimumab	Fusidic acid | Methylprednisolone | Dexamethasone | Cortisone acetate | Betamethasone
attention deficit-hyperactivity disorder	Atomoxetine	656	1501	-845	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Golimumab	Betamethasone | Methylprednisolone | Hydrocortisone | Cortisone acetate | Triamcinolone
psychologic dyspareunia	Avanafil	369	1212	-843	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Methylprednisolone | Betamethasone | Triamcinolone | Cortisone acetate | Hydrocortisone
beriberi	Inositol	288	1113	-825	False	False	True	True	Golimumab | Infliximab | Talaporfin | Adalimumab | Certolizumab pegol	Methylprednisolone | Cortisone acetate | Triamcinolone | Hydrocortisone | Dexamethasone
Pediculus humanus corporis infestation	Permethrin	717	1540	-823	False	False	True	True	Azathioprine | Bexarotene | Omacetaxine mepesuccinate | Tofacitinib | Adenosine phosphate	Fusidic acid | Oxytetracycline | Tobramycin | Dexamethasone | Tetracycline
bronchitis	Lomefloxacin	287	1084	-797	False	False	True	True	Acenocoumarol | Omacetaxine mepesuccinate | Azathioprine | Mebendazole | Oseltamivir	Fusidic acid | Methylprednisolone | Dexamethasone | Prednisolone | Cortisone acetate
HIV infectious disease	Elvitegravir	1024	1791	-767	False	False	True	True	Cholestyramine | Neratinib | Infliximab | Talaporfin | Golimumab	Betamethasone | Triamcinolone | Hydrocortisone | Methylprednisolone | Cortisone acetate
infectious otitis media	Sulfamethizole	914	1651	-737	False	False	True	True	Azathioprine | Adenosine phosphate | Bexarotene | Mecasermin rinfabate | Tofacitinib	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Prednisolone
female breast carcinoma	Tamoxifen	9	745	-736	True	False	False	True	Acenocoumarol | Omacetaxine mepesuccinate | Oseltamivir | Azathioprine | Mebendazole	Fusidic acid | Methylprednisolone | Dexamethasone | Prednisolone | Cortisone acetate
iron deficiency anemia	Ferric oxide	169	901	-732	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Levomethadone | Golimumab	Betamethasone | Methylprednisolone | Triamcinolone | Cortisone acetate | Hydrocortisone
candidemia	Caspofungin	1049	1765	-716	False	False	True	True	Azathioprine | Tofacitinib | Adenosine phosphate | Tamoxifen | Bexarotene	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Methdilazine
osteomalacia (disease)	Dihydrotachysterol	9	684	-675	True	False	False	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Golimumab	Betamethasone | Triamcinolone | Methylprednisolone | Hydrocortisone | Cortisone acetate
hypophosphatemia (disease)	Calcifediol	19	692	-673	True	False	False	True	Cholestyramine | Neratinib | Infliximab | Talaporfin | Golimumab	Betamethasone | Methylprednisolone | Triamcinolone | Cortisone acetate | Hydrocortisone
localized scleroderma	Aminobenzoic acid	98	728	-630	False	False	True	True	Neratinib | Cholestyramine | Infliximab | Golimumab | Talaporfin	Betamethasone | Triamcinolone | Hydrocortisone | Methylprednisolone | Cortisone acetate
intracranial embolism	Clopidogrel	496	1103	-607	False	False	True	True	Acenocoumarol | Omacetaxine mepesuccinate | Azathioprine | Alfacalcidol | Podofilox	Fusidic acid | Methylprednisolone | Dexamethasone | Triamcinolone | Prednisolone
scleroderma (disease)	Aminobenzoic acid	109	716	-607	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Golimumab	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
hypochromic anemia	Ferric oxide	288	892	-604	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Levomethadone | Infliximab	Betamethasone | Methylprednisolone | Cortisone acetate | Hydrocortisone | Triamcinolone
hypertensive disorder	Mecamylamine	269	870	-601	False	False	True	True	Cholestyramine | Golimumab | Neratinib | Infliximab | Talaporfin	Fusidic acid | Dexamethasone | Methylprednisolone | Oxytetracycline | Prednisolone
attention deficit hyperactivity disorder, inattentive type	Dexmethylphenidate	769	1359	-590	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Golimumab	Betamethasone | Methylprednisolone | Hydrocortisone | Cortisone acetate | Triamcinolone
tinea corporis	Tolnaftate	1061	1648	-587	False	False	True	True	Azathioprine | Omacetaxine mepesuccinate | Tofacitinib | Acenocoumarol | Tamoxifen	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Methdilazine
ciliary body disease	Rimexolone	604	1178	-574	False	False	True	True	Infliximab | Cholestyramine | Golimumab | Neratinib | Talaporfin	Methylprednisolone | Cortisone acetate | Hydrocortisone | Prednisolone | Dexamethasone
candidemia	Voriconazole	1126	1683	-557	False	False	True	True	Azathioprine | Tofacitinib | Adenosine phosphate | Tamoxifen | Bexarotene	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Methdilazine
epilepsy	Trimethadione	771	1295	-524	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Methylprednisolone | Triamcinolone | Cortisone acetate
anxiety disorder	Mebanazine	19	534	-515	True	False	False	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Methylprednisolone | Triamcinolone | Cortisone acetate
