query_entity	gold_entity	w6_gold_rank_in_full_universe	w7_gold_rank_in_full_universe	delta_rank	w6_gold_in_top20_raw	w7_gold_in_top20_raw	w6_gold_injected	w7_gold_injected	w6_raw_top5	w7_raw_top5
vasomotor rhinitis	Prednisone	1759	22	1737	False	False	True	True	Azathioprine | Bexarotene | Podofilox | Alfacalcidol | Tofacitinib	Fusidic acid | Dexamethasone | Methylprednisolone | Oxytetracycline | Prednisolone
immature ovarian teratoma	Rucaparib	1730	38	1692	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
malignant Sertoli-Leydig cell tumor of ovary	Rucaparib	1730	38	1692	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
hemorrhoid	Phenylephrine	1744	72	1672	False	False	True	True	Acenocoumarol | Omacetaxine mepesuccinate | Mebendazole | Beraprost | Oseltamivir	Fusidic acid | Dexamethasone | Methylprednisolone | Prednisolone | Cortisone acetate
maligant granulosa cell tumor of ovary	Topotecan	1693	22	1671	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
malignant germ cell tumor of ovary	Topotecan	1693	22	1671	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
ovarian adenocarcinoma	Topotecan	1693	22	1671	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
vernal conjunctivitis	Phenylephrine	1715	65	1650	False	False	True	True	Omacetaxine mepesuccinate | Acenocoumarol | Azathioprine | Mebendazole | Podofilox	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Prednisolone
rheumatoid arthritis	Lithium carbonate	1695	67	1628	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Methylprednisolone | Hydrocortisone | Triamcinolone | Cortisone acetate
urinary bladder carcinoma	Thiotepa	1603	14	1589	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Golimumab	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
urinary bladder neoplasm	Thiotepa	1603	14	1589	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
theca steroid-producing cell malignant tumor of ovary, not further specified	Thiotepa	1602	15	1587	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
acquired thrombocytopenia	Cortisone acetate	1587	3	1584	False	True	True	False	Acenocoumarol | Omacetaxine mepesuccinate | Vinflunine | Beraprost | Mebendazole	Fusidic acid | Methylprednisolone | Cortisone acetate | Dexamethasone | Prednisolone
ovarian adenocarcinoma	Tretamine	1605	27	1578	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
ovarian clear cell adenocarcinoma	Tretamine	1605	27	1578	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
vernal conjunctivitis	Loratadine	1626	53	1573	False	False	True	True	Omacetaxine mepesuccinate | Acenocoumarol | Azathioprine | Mebendazole | Podofilox	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Prednisolone
nasopharyngitis	Ephedrine	1732	161	1571	False	False	True	True	Alfacalcidol | Bexarotene | Azathioprine | Podofilox | Teriparatide	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Methdilazine
